r_arcmin,relative stellar surface density,uncertainty on relative stellar surface density,source
188.0,3.55901522958e-05,5.74471972254e-05,SDSS / Jordi & Grebel(2010)
190.0,2.32187585995e-05,5.66861141018e-05,SDSS / Jordi & Grebel(2010)
192.0,-4.30991207532e-05,5.38825334284e-05,SDSS / Jordi & Grebel(2010)
194.0,1.16209235785e-05,5.5670479785e-05,SDSS / Jordi & Grebel(2010)
196.0,9.38154708697e-05,5.83377953326e-05,SDSS / Jordi & Grebel(2010)
198.0,-3.55151755234e-06,5.45458236254e-05,SDSS / Jordi & Grebel(2010)
200.0,2.91175824824e-05,5.54640551228e-05,SDSS / Jordi & Grebel(2010)
202.0,6.51029116057e-05,5.64660813695e-05,SDSS / Jordi & Grebel(2010)
204.0,2.1896893287e-05,5.4659001986e-05,SDSS / Jordi & Grebel(2010)
206.0,2.8469532295e-06,5.37081834161e-05,SDSS / Jordi & Grebel(2010)
208.0,-6.97201297586e-05,5.07694302112e-05,SDSS / Jordi & Grebel(2010)
210.0,3.44546137056e-05,5.43149925567e-05,SDSS / Jordi & Grebel(2010)
212.0,8.75731789025e-05,5.58826762637e-05,SDSS / Jordi & Grebel(2010)
214.0,2.37306725427e-05,5.34308779682e-05,SDSS / Jordi & Grebel(2010)
216.0,-6.48734668336e-05,5.00003383242e-05,SDSS / Jordi & Grebel(2010)
218.0,-1.28880622283e-06,5.20634010715e-05,SDSS / Jordi & Grebel(2010)
220.0,3.93064602813e-05,5.32322969262e-05,SDSS / Jordi & Grebel(2010)
222.0,5.032146322e-05,5.33654385941e-05,SDSS / Jordi & Grebel(2010)
224.0,-3.17817555656e-05,5.02892984265e-05,SDSS / Jordi & Grebel(2010)
226.0,3.63438282551e-05,5.24209175552e-05,SDSS / Jordi & Grebel(2010)
228.0,-1.25955296706e-05,5.05174390172e-05,SDSS / Jordi & Grebel(2010)
230.0,-4.67610783224e-05,4.91009282298e-05,SDSS / Jordi & Grebel(2010)
232.0,1.28304356507e-05,5.09484835537e-05,SDSS / Jordi & Grebel(2010)
234.0,5.77185958263e-05,5.22219522392e-05,SDSS / Jordi & Grebel(2010)
236.0,-4.0625655652e-05,4.86869543016e-05,SDSS / Jordi & Grebel(2010)
